Date,Note,Location,GPS,Source
"February 17, 2013 at 02:40PM",,ตลาดน้ำบางน้ำผึ้ง (Bangnamphung Floating Market),"13.68072363,100.57519913",historical-xlsx
"February 17, 2013 at 05:20PM",,Bangkok Tree House,"13.68039427,100.58510630",historical-xlsx
"February 17, 2013 at 06:59PM",,Bangkok Tree House,"13.68039427,100.58510630",historical-xlsx
"February 17, 2013 at 07:00PM",,ท่าเรือวัดบางน้ำผึ้งนอก,"13.68291300,100.58655000",historical-xlsx
"February 18, 2013 at 09:08AM",,Pro Wash Carcare,"13.72985330,100.59409895",historical-xlsx
"February 18, 2013 at 06:56PM",,MBK Center (เอ็ม บี เค เซ็นเตอร์),"13.74459595,100.53022385",historical-xlsx
"February 19, 2013 at 07:24PM",,Durty Nelly's Irish Pub,"13.72339744,100.58475852",historical-xlsx
"February 20, 2013 at 08:14PM",,Siam Center (สยามเซ็นเตอร์),"13.74592991,100.53275585",historical-xlsx
"February 20, 2013 at 09:01PM",,The Coffee Club,"13.72027169,100.58429283",historical-xlsx
"February 21, 2013 at 07:06PM",,บ้านใร่ใบกระเพรา (Banrie Bai Ka Prao),"13.72030531,100.58457314",historical-xlsx
"February 22, 2013 at 06:30PM",,Ozono Plaza (โอโซโน่ พลาซ่า),"13.74472348,100.57295992",historical-xlsx
"February 23, 2013 at 08:33AM",,Ramada Hotel & Suites,"13.73454930,100.55781841",historical-xlsx
"February 23, 2013 at 11:01AM",,Pantaree Restaurant,"13.73826000,100.55855200",historical-xlsx
"February 23, 2013 at 07:46PM",,Sizzler (ซิซซ์เลอร์),"13.72136500,100.58315100",historical-xlsx
"February 25, 2013 at 02:34PM",,โรงพยาบาลสมิติเวช สุขุมวิท (Samitivej Sukhumvit Hospital),"13.73450761,100.57661533",historical-xlsx
"February 28, 2013 at 03:06PM",,กองบังคับการตรวจคนเข้าเมือง 1 (Immigration Division 1),"13.88092029,100.56492550",historical-xlsx
"February 28, 2013 at 05:40PM",,โรงพยาบาลพญาไท 3 (Phyathai 3 Hospital),"13.72310900,100.46370400",historical-xlsx
"February 28, 2013 at 07:05PM",,Bua Restaurant,"13.67164044,100.54385909",historical-xlsx
"March 01, 2013 at 07:44PM",,The Dubliner Irish Pub,"13.73213137,100.56835413",historical-xlsx
"March 01, 2013 at 10:19PM",,Back Rooftop VIP at Qup,"13.74523316,100.55617746",historical-xlsx
"March 01, 2013 at 11:41PM",,Levels Club & Lounge,"13.74432856,100.55658407",historical-xlsx
"March 02, 2013 at 01:18PM",,Playtime,"13.72323067,100.58410406",historical-xlsx
"March 02, 2013 at 10:04PM",,IKEA Bangna (อิเกีย บางนา),"13.64376607,100.68077087",historical-xlsx
"March 05, 2013 at 07:04PM",,Bourbon St.,"13.72235944,100.58451818",historical-xlsx
"March 06, 2013 at 10:37PM",,Durty Nelly's Irish Pub,"13.72339744,100.58475852",historical-xlsx
"March 07, 2013 at 04:35PM",,"Sunbelt Asia Co.,Ltd.","13.75859592,100.56566736",historical-xlsx
"March 07, 2013 at 05:30PM",,Fortune Town (ฟอร์จูนทาวน์),"13.75860217,100.56540370",historical-xlsx
"March 08, 2013 at 06:01PM",,Fortune Town (ฟอร์จูนทาวน์),"13.75860217,100.56540370",historical-xlsx
"March 08, 2013 at 06:35PM",,Siam Paragon (สยามพารากอน),"13.74602371,100.53459048",historical-xlsx
